Generation,Ticks,Hunger,Violence,Laziness,Metabolism,Style
1,26,0.0998679999999999,0.10000299999999983,0.10008799999999979,0.10027599999999989,0.10022699999999986
2,25,0.1005119999999997,0.09950599999999998,0.10031699999999989,0.10093799999999988,0.10100099999999988
3,26,0.10030599999999985,0.09991899999999972,0.09994499999999988,0.101565,0.10098399999999987
4,26,0.10059699999999998,0.09949299999999968,0.10050099999999992,0.10290299999999977,0.1014979999999998
5,26,0.10064399999999979,0.09917999999999977,0.09944799999999977,0.10334599999999977,0.1017509999999998
6,27,0.10088000000000004,0.09931299999999986,0.09911499999999986,0.10394499999999976,0.1024719999999998
7,27,0.10144599999999988,0.0994349999999999,0.09947199999999992,0.10437399999999965,0.10351699999999985
8,27,0.10168499999999983,0.09905499999999988,0.09946399999999993,0.10483999999999978,0.10443699999999982
9,27,0.10168199999999987,0.09905199999999992,0.09876100000000003,0.10560999999999962,0.10396199999999987
10,26,0.10189899999999989,0.09913299999999992,0.09833599999999983,0.10700299999999968,0.10353199999999979
11,27,0.10170499999999992,0.0991599999999998,0.09838900000000005,0.10844199999999972,0.103809
12,28,0.1013769999999998,0.09928399999999984,0.09822399999999998,0.10905699999999986,0.10439799999999994
13,27,0.1025409999999999,0.09931000000000004,0.09844299999999985,0.10963499999999973,0.10458099999999983
14,27,0.10273399999999996,0.09946799999999988,0.0980409999999999,0.11095699999999978,0.10509699999999975
15,28,0.10246499999999982,0.09984299999999985,0.0984979999999999,0.11193499999999974,0.1049939999999999
16,28,0.10288999999999994,0.10055299999999975,0.097738,0.11304099999999974,0.10467699999999977
17,28,0.10339500000000007,0.10084699999999994,0.097883,0.11413999999999969,0.10580199999999984
18,28,0.10428399999999982,0.10080599999999998,0.09818399999999995,0.11517599999999972,0.1055729999999998
19,30,0.10357399999999987,0.10075100000000006,0.09835799999999992,0.11642399999999965,0.10583899999999984
20,29,0.1048319999999998,0.10102899999999994,0.09838299999999985,0.11728699999999959,0.10691199999999973
21,29,0.10557700000000003,0.10073499999999973,0.09779499999999991,0.11787099999999968,0.10750399999999961
22,29,0.10626599999999982,0.10166999999999994,0.09758299999999988,0.11899999999999983,0.10848799999999971
23,30,0.10688399999999974,0.10180799999999984,0.0971679999999998,0.11933499999999966,0.10890199999999979
24,30,0.10750699999999977,0.10142799999999995,0.09724499999999985,0.12006199999999992,0.10894499999999986
25,29,0.10857199999999978,0.10142499999999983,0.09659299999999987,0.12019199999999991,0.10960499999999981
26,31,0.10941499999999987,0.10165699999999996,0.09599199999999977,0.12053199999999996,0.10994600000000004
27,29,0.10927299999999988,0.10215599999999997,0.09639099999999985,0.12103699999999992,0.11045499999999987
28,31,0.11011099999999978,0.10191899999999986,0.09681899999999996,0.12140699999999999,0.10999199999999988
29,30,0.11119999999999987,0.10244099999999987,0.09669400000000002,0.12154699999999997,0.11159200000000001
30,30,0.1108969999999998,0.102627,0.09683599999999985,0.12209899999999985,0.11199499999999998
31,30,0.11155499999999981,0.10277199999999995,0.09693799999999993,0.121888,0.11233500000000003
32,30,0.11146599999999998,0.10289,0.09700899999999993,0.12235699999999987,0.11240299999999981
33,31,0.11205899999999995,0.10297899999999992,0.09617699999999978,0.12321000000000003,0.11347099999999986
34,30,0.112619,0.10314099999999976,0.09532399999999995,0.12310800000000006,0.11486199999999992
35,31,0.11178199999999985,0.10386199999999984,0.09548699999999988,0.12370000000000013,0.11505699999999978
36,30,0.11197899999999991,0.10357999999999991,0.09560799999999994,0.12406500000000006,0.11540699999999987
37,30,0.11104099999999972,0.1036579999999999,0.095785,0.12499500000000008,0.1155969999999999
38,31,0.11098699999999972,0.10363499999999995,0.09589599999999976,0.12583700000000014,0.11648199999999984
39,31,0.11121999999999978,0.10356899999999983,0.09498799999999989,0.1261130000000002,0.11708600000000002
40,31,0.11158499999999988,0.10386499999999992,0.09384099999999998,0.12652200000000008,0.11764499999999987
41,32,0.11269499999999986,0.10410799999999983,0.09362999999999996,0.12713400000000016,0.11776100000000002
42,31,0.11259599999999986,0.1044609999999999,0.09356599999999995,0.12797700000000023,0.11797599999999972
43,32,0.11279699999999977,0.10432599999999984,0.09441,0.13005000000000017,0.11795299999999986
44,31,0.11354199999999985,0.1042,0.09384500000000007,0.1297380000000002,0.11854099999999992
45,32,0.11326299999999978,0.10380799999999968,0.09426899999999998,0.13060200000000022,0.11905899999999987
46,32,0.11319699999999981,0.10382199999999968,0.09447400000000006,0.1311740000000002,0.11904799999999982
47,32,0.11381199999999991,0.10353999999999985,0.09421900000000004,0.1326060000000003,0.11930299999999991
