Generation,Ticks,Hunger,Violence,Laziness,Metabolism,Style
1,13,0.09994500000000008,0.10012500000000003,0.09898999999999997,0.10014499999999997,0.09998000000000003
2,13,0.09974999999999999,0.10002000000000003,0.10087000000000002,0.10159499999999998,0.10141499999999999
3,12,0.09894500000000006,0.09987000000000001,0.10122999999999997,0.10203000000000002,0.10173499999999996
4,13,0.09746500000000001,0.10125500000000003,0.1008,0.10154999999999997,0.10237499999999995
5,14,0.09603999999999999,0.10203,0.10070500000000003,0.10302000000000001,0.10225999999999993
6,14,0.09590000000000001,0.10090000000000002,0.10134500000000003,0.10287999999999997,0.10321000000000001
7,12,0.094755,0.10003000000000002,0.10184499999999996,0.10229500000000005,0.10286000000000006
8,10,0.09441499999999994,0.09989000000000006,0.10062000000000003,0.10106,0.10318999999999998
9,13,0.09434000000000005,0.09939499999999991,0.10047999999999999,0.09954499999999995,0.10373500000000002
10,12,0.09277999999999999,0.10066500000000002,0.10128999999999998,0.10004500000000002,0.10383999999999997
11,10,0.092875,0.09935999999999998,0.102585,0.10030000000000003,0.10319500000000005
12,13,0.09372500000000002,0.09932500000000001,0.10332999999999998,0.10132999999999998,0.10270500000000002
13,11,0.09279000000000001,0.09957000000000002,0.1033449999999999,0.10109499999999995,0.10378999999999997
14,12,0.09165500000000001,0.09892000000000001,0.10302500000000006,0.10023,0.10350999999999995
15,12,0.09246,0.09658000000000003,0.10265000000000002,0.10045000000000001,0.103275
16,12,0.09159500000000001,0.09839500000000005,0.10350000000000009,0.10101000000000009,0.10429999999999995
17,13,0.09226,0.09759000000000002,0.1035,0.10086500000000008,0.10398999999999996
18,13,0.09243499999999999,0.0968,0.10289499999999999,0.10137000000000002,0.10347500000000005
19,13,0.09148000000000002,0.09919000000000003,0.10245000000000003,0.101685,0.10462500000000002
20,13,0.09198500000000007,0.09895999999999999,0.10292,0.10135000000000004,0.10629500000000006
21,12,0.091645,0.09935000000000002,0.10165,0.10167500000000004,0.105665
22,13,0.09189000000000001,0.09965500000000002,0.101065,0.10286499999999998,0.10587000000000009
23,13,0.09368000000000007,0.09880499999999999,0.099955,0.10531999999999994,0.10534500000000001
24,12,0.09304500000000003,0.09913999999999999,0.10009500000000006,0.10617500000000003,0.10559999999999993
25,12,0.09363499999999998,0.09965499999999995,0.09880999999999998,0.10592500000000005,0.10587499999999996
26,13,0.09535500000000002,0.100235,0.098315,0.10701999999999998,0.10554999999999999
27,12,0.09545500000000003,0.10036500000000002,0.09757500000000001,0.1072950000000001,0.10565999999999998
28,13,0.093215,0.10165000000000007,0.09709000000000001,0.10731,0.10604000000000002
29,11,0.09352999999999997,0.10204999999999999,0.09691999999999995,0.10828500000000005,0.10613500000000003
30,13,0.09559000000000001,0.10234,0.09657000000000006,0.10678000000000003,0.10569999999999989
31,13,0.09494499999999999,0.10287499999999994,0.09650499999999998,0.10807999999999994,0.1052350000000001
32,13,0.09634999999999996,0.103225,0.09688999999999996,0.10829500000000003,0.10582000000000004
33,11,0.09684000000000001,0.10340500000000002,0.09698499999999997,0.10876,0.10525000000000002
34,13,0.09738000000000006,0.10297500000000001,0.09782500000000004,0.11057500000000006,0.10497499999999997
35,11,0.09918500000000005,0.10284499999999996,0.09811000000000007,0.10929499999999996,0.10456999999999995
36,12,0.09985500000000001,0.10414999999999995,0.09825999999999997,0.10969499999999995,0.10377999999999998
37,13,0.09929500000000008,0.10405500000000005,0.09788499999999999,0.10968000000000004,0.10411499999999997
38,14,0.09948,0.10359000000000002,0.09747999999999997,0.110275,0.10412000000000005
39,13,0.09976500000000006,0.10407499999999999,0.09832500000000001,0.11037000000000004,0.10431500000000005
40,13,0.09900000000000013,0.10423500000000008,0.09837999999999997,0.11009500000000003,0.10452500000000003
41,14,0.09869000000000001,0.103895,0.09783999999999997,0.10987,0.104155
42,15,0.09880500000000005,0.10447000000000005,0.09914000000000002,0.11097499999999999,0.10348500000000005
43,14,0.09864000000000005,0.1037350000000001,0.09868999999999996,0.11201499999999996,0.10258999999999999
44,14,0.09876999999999998,0.10253500000000004,0.09859000000000005,0.11223999999999996,0.10263499999999999
45,14,0.09913499999999997,0.10237000000000013,0.09946500000000005,0.11208000000000005,0.10110499999999999
46,12,0.09826,0.10139000000000001,0.09793500000000002,0.11288499999999999,0.10034000000000004
47,15,0.09699999999999998,0.10049999999999998,0.09776000000000001,0.1133999999999999,0.099915
48,15,0.09665000000000001,0.10075500000000005,0.097785,0.11488499999999996,0.100435
49,14,0.09682000000000002,0.100805,0.09745499999999993,0.11369500000000005,0.10048999999999998
50,11,0.09701,0.10140500000000001,0.09719,0.11222500000000003,0.0996
51,13,0.09628000000000002,0.10190499999999995,0.09842500000000008,0.11263499999999996,0.09969000000000007
52,15,0.09752,0.10242500000000002,0.09901000000000006,0.11236999999999993,0.09818500000000001
53,13,0.09775999999999999,0.10348500000000001,0.09952,0.11289499999999993,0.09763000000000002
54,14,0.097775,0.10275499999999999,0.09846000000000003,0.11478999999999993,0.09826499999999998
55,13,0.098325,0.10209000000000014,0.09814,0.11320000000000002,0.09861500000000006
56,10,0.09854499999999994,0.10250500000000001,0.09963499999999996,0.11363500000000004,0.09904500000000004
57,14,0.09918999999999993,0.10236000000000012,0.09962000000000003,0.11382499999999997,0.09970000000000007
58,14,0.10127500000000003,0.10216499999999998,0.09826500000000005,0.11531500000000001,0.09924999999999999
59,12,0.10107500000000001,0.10287999999999999,0.09681999999999999,0.116335,0.09979000000000005
60,14,0.09946000000000002,0.10269,0.09826500000000003,0.11628499999999997,0.10026500000000002
61,14,0.09998499999999996,0.10215500000000004,0.09827,0.11533999999999997,0.10017500000000006
62,13,0.0992300000000001,0.10254500000000003,0.09841999999999995,0.11607499999999997,0.09950999999999999
63,11,0.09871499999999994,0.10242000000000007,0.09831499999999999,0.11681000000000008,0.09927500000000006
